_id.courseId,_id.sectionId,_id.unitId,user,start_time,end_time,total_time
28,1,10,11464,2018-05-11T21:19:16.237Z,2018-05-11T21:19:17.736Z,1499
28,1,10,15396,2018-05-12T03:04:38.538Z,2018-05-12T03:06:09.409Z,90871
28,1,10,12114,2018-05-12T07:03:10.979Z,2018-05-12T07:03:40.857Z,29878
28,1,10,15408,2018-05-12T09:19:57.746Z,2018-05-12T09:22:12.803Z,135057
28,1,10,15123,2018-05-13T16:47:42.854Z,2018-05-13T17:04:29.565Z,1006711
28,1,10,15316,2018-05-14T04:41:56.092Z,2018-05-14T04:41:59.652Z,3560
28,1,10,15324,2018-05-14T19:07:36.945Z,2018-05-14T19:10:01.682Z,144737
28,1,10,15475,2018-05-15T08:28:48.258Z,2018-05-15T08:29:00.606Z,12348
28,1,10,13048,2018-05-17T12:46:08.552Z,2018-05-17T12:47:18.137Z,69585
28,1,10,15776,2018-05-17T19:34:57.398Z,2018-05-17T19:35:22.673Z,25275
28,1,10,14977,2018-05-18T09:53:53.911Z,2018-05-18T09:59:47.696Z,353785
28,1,10,218,2018-05-18T12:56:12.740Z,2018-05-18T12:56:13.320Z,580
28,1,10,1585,2018-05-19T09:34:39.043Z,2018-05-19T09:34:49.513Z,10470
28,1,10,8443,2018-05-20T11:45:19.833Z,2018-05-20T11:45:24.365Z,4532
28,1,10,8443,2018-05-20T11:45:27.456Z,2018-05-20T11:48:33.607Z,186151
28,1,10,1585,2018-05-20T13:23:19.838Z,2018-05-20T13:23:39.393Z,19555
28,1,10,15473,2018-05-22T01:54:55.250Z,2018-05-22T01:56:10.771Z,75521
28,1,10,15473,2018-05-22T02:01:03.371Z,2018-05-22T02:01:19.875Z,16504
28,1,10,15473,2018-05-22T02:02:27.281Z,2018-05-22T02:02:29.154Z,1873
28,1,10,11144,2018-05-24T10:54:40.242Z,2018-05-24T10:55:01.542Z,21300
28,1,10,5589,2018-05-25T21:25:59.409Z,2018-05-25T21:26:01.102Z,1693
28,1,10,5589,2018-05-25T21:29:04.217Z,2018-05-25T21:29:07.806Z,3589
28,1,10,1585,2018-05-26T15:00:54.111Z,2018-05-26T15:01:43.517Z,49406
28,1,10,16746,2018-05-28T06:06:04.947Z,2018-05-28T06:06:53.402Z,48455
28,1,10,10422,2018-05-28T16:10:53.708Z,2018-05-28T16:11:09.590Z,15882
28,1,10,12150,2018-05-29T00:29:33.551Z,2018-05-29T00:33:49.003Z,255452
28,1,10,12150,2018-05-29T00:37:12.929Z,2018-05-29T00:37:35.374Z,22445
28,1,10,14280,2018-05-29T02:40:32.535Z,2018-05-29T03:17:10.363Z,2197828
28,1,10,16895,2018-05-31T13:29:33.625Z,2018-05-31T13:34:15.678Z,282053
28,1,10,1585,2018-06-01T11:50:50.061Z,2018-06-01T11:51:00.929Z,10868
28,1,10,16997,2018-06-02T14:14:26.355Z,2018-06-02T14:14:26.956Z,601
28,1,10,16699,2018-06-02T23:48:24.067Z,2018-06-02T23:48:54.174Z,30107
28,1,10,15350,2018-06-05T10:58:17.035Z,2018-06-05T10:58:34.435Z,17400
28,1,10,1585,2018-06-06T12:13:02.400Z,2018-06-06T12:13:10.764Z,8364
28,1,10,17213,2018-06-07T12:15:08.510Z,2018-06-07T12:15:24.122Z,15612
28,1,10,4759,2018-06-14T18:21:42.468Z,2018-06-14T18:22:48.164Z,65696
28,1,10,11614,2018-06-15T02:53:05.358Z,2018-06-15T02:54:10.583Z,65225
28,1,10,15473,2018-06-16T14:39:45.189Z,2018-06-16T14:39:45.415Z,226
28,1,10,15473,2018-06-16T19:13:14.671Z,2018-06-16T19:13:20.521Z,5850
28,1,10,15473,2018-06-16T19:38:49.080Z,2018-06-16T19:39:24.377Z,35297
28,1,10,6734,2018-06-17T15:31:51.698Z,2018-06-17T15:32:46.279Z,54581
28,1,10,17682,2018-06-18T08:53:12.077Z,2018-06-18T08:56:32.218Z,200141
28,1,10,349,2018-06-18T16:00:15.312Z,2018-06-18T16:00:15.959Z,647
28,1,10,15294,2018-06-19T05:27:10.355Z,2018-06-19T05:27:19.063Z,8708
28,1,10,15294,2018-06-19T05:27:39.382Z,2018-06-19T05:27:41.884Z,2502
28,1,10,15294,2018-06-19T05:27:44.683Z,2018-06-19T05:28:29.295Z,44612
28,1,10,17944,2018-06-21T19:46:08.815Z,2018-06-21T19:46:24.236Z,15421
28,1,10,12776,2018-06-22T13:25:37.529Z,2018-06-22T13:25:39.873Z,2344
28,1,10,1585,2018-06-23T06:52:34.979Z,2018-06-23T06:52:41.636Z,6657
28,1,10,17981,2018-06-23T13:34:10.812Z,2018-06-23T13:35:33.190Z,82378
28,1,10,16885,2018-06-23T16:40:40.486Z,2018-06-23T16:40:42.166Z,1680
28,1,10,18033,2018-06-24T08:39:16.728Z,2018-06-24T08:39:38.400Z,21672
28,1,10,8147,2018-06-24T12:32:36.939Z,2018-06-24T12:32:53.480Z,16541
28,1,10,709,2018-06-24T15:56:32.239Z,2018-06-24T15:58:14.767Z,102528
28,1,10,18041,2018-06-24T16:00:47.145Z,2018-06-24T16:01:34.362Z,47217
28,1,10,18041,2018-06-24T16:03:33.812Z,2018-06-24T16:03:34.822Z,1010
28,1,10,18041,2018-06-24T16:04:01.094Z,2018-06-24T16:04:01.763Z,669
28,1,10,18150,2018-06-28T13:45:40.026Z,2018-06-28T13:46:08.959Z,28933
28,1,10,6302,2018-06-29T20:31:46.857Z,2018-06-29T20:31:56.474Z,9617
28,1,10,15294,2018-06-30T12:25:41.769Z,2018-06-30T12:26:04.390Z,22621
28,1,10,18344,2018-07-01T20:51:34.593Z,2018-07-01T20:51:44.715Z,10122
28,1,10,16885,2018-07-01T22:31:00.057Z,2018-07-01T22:31:00.163Z,106
28,1,10,16885,2018-07-01T23:42:23.001Z,2018-07-01T23:42:50.589Z,27588
28,1,10,18417,2018-07-03T18:04:22.179Z,2018-07-03T18:04:22.924Z,745
28,1,10,305,2018-07-05T00:03:50.133Z,2018-07-05T00:04:08.064Z,17931
28,1,2,13566,2018-03-09T10:23:07.446Z,2018-03-09T10:23:18.687Z,11241
28,1,2,13566,2018-03-09T10:35:42.084Z,2018-03-09T10:35:52.460Z,10376
28,1,2,13578,2018-03-09T12:16:07.819Z,2018-03-09T12:16:37.589Z,29770
28,1,2,120,2018-03-09T12:37:34.837Z,2018-03-09T12:37:38.076Z,3239
28,1,2,13627,2018-03-11T05:48:19.330Z,2018-03-11T05:48:45.982Z,26652
28,1,2,4962,2018-03-12T07:42:35.624Z,2018-03-12T07:42:36.096Z,472
28,1,2,5583,2018-03-12T12:34:28.697Z,2018-03-12T12:34:29.834Z,1137
28,1,2,9696,2018-03-13T04:49:01.982Z,2018-03-13T04:49:19.847Z,17865
28,1,2,12951,2018-03-13T10:45:42.244Z,2018-03-13T10:48:12.726Z,150482
28,1,2,13679,2018-03-14T10:45:49.619Z,2018-03-14T10:45:57.317Z,7698
28,1,2,13685,2018-03-14T17:45:25.026Z,2018-03-14T17:45:41.125Z,16099
28,1,2,8147,2018-03-16T17:49:07.381Z,2018-03-16T17:49:19.986Z,12605
28,1,2,8147,2018-03-16T17:49:28.041Z,2018-03-16T17:49:34.617Z,6576
28,1,2,13674,2018-03-17T01:05:41.132Z,2018-03-17T01:08:07.544Z,146412
28,1,2,9696,2018-03-17T05:59:22.734Z,2018-03-17T05:59:25.309Z,2575
28,1,2,13566,2018-03-17T07:04:50.523Z,2018-03-17T07:49:57.490Z,2706967
28,1,2,10051,2018-03-17T15:27:24.389Z,2018-03-17T15:27:29.614Z,5225
28,1,2,10051,2018-03-17T15:28:17.655Z,2018-03-17T15:35:48.054Z,450399
28,1,2,172,2018-03-17T17:04:07.683Z,2018-03-17T17:06:08.920Z,121237
28,1,2,6515,2018-03-17T17:20:37.110Z,2018-03-17T17:22:33.749Z,116639
28,1,2,13566,2018-03-18T09:21:10.841Z,2018-03-18T09:23:13.398Z,122557
28,1,2,13770,2018-03-18T18:21:15.873Z,2018-03-18T18:21:40.147Z,24274
28,1,2,9696,2018-03-19T08:55:01.977Z,2018-03-19T08:55:04.471Z,2494
28,1,2,18,2018-03-20T05:19:27.893Z,2018-03-20T05:22:20.323Z,172430
28,1,2,18,2018-03-20T08:17:32.330Z,2018-03-20T08:17:40.275Z,7945
28,1,2,13814,2018-03-20T16:36:48.400Z,2018-03-20T16:38:31.621Z,103221
28,1,2,13566,2018-03-21T00:54:30.067Z,2018-03-21T00:54:32.728Z,2661
28,1,2,13566,2018-03-21T05:06:12.194Z,2018-03-21T05:48:47.841Z,2555647
28,1,2,13566,2018-03-21T06:30:15.451Z,2018-03-21T06:41:29.605Z,674154
28,1,2,6707,2018-03-21T13:00:41.025Z,2018-03-21T13:01:28.059Z,47034
28,1,2,5945,2018-03-21T14:07:01.821Z,2018-03-21T14:07:06.622Z,4801
28,1,2,13814,2018-03-21T14:19:34.104Z,2018-03-21T14:19:37.518Z,3414
28,1,2,10363,2018-03-21T15:08:22.775Z,2018-03-21T15:09:44.673Z,81898
28,1,2,13566,2018-03-22T13:20:06.305Z,2018-03-22T13:20:07.851Z,1546
28,1,2,9733,2018-03-23T07:18:24.508Z,2018-03-23T07:19:00.996Z,36488
28,1,2,13131,2018-03-23T08:06:34.857Z,2018-03-23T08:06:45.977Z,11120
28,1,2,13930,2018-03-23T12:27:25.986Z,2018-03-23T12:30:27.882Z,181896
28,1,2,11417,2018-03-23T14:16:18.318Z,2018-03-23T14:16:25.277Z,6959
28,1,2,13054,2018-03-24T03:58:25.443Z,2018-03-24T03:58:37.196Z,11753
28,1,2,6809,2018-03-24T09:27:17.206Z,2018-03-24T09:29:20.550Z,123344
28,1,2,6809,2018-03-24T09:30:47.439Z,2018-03-24T09:54:59.534Z,1452095
28,1,2,13889,2018-03-24T11:52:07.375Z,2018-03-24T11:53:17.157Z,69782
28,1,2,13054,2018-03-25T12:53:54.806Z,2018-03-25T12:54:05.861Z,11055
28,1,2,13220,2018-03-25T15:58:12.035Z,2018-03-25T15:59:37.413Z,85378
28,1,2,13997,2018-03-26T09:53:20.759Z,2018-03-26T09:56:54.843Z,214084
28,1,2,14000,2018-03-26T14:04:00.644Z,2018-03-26T14:04:25.559Z,24915
28,1,2,14000,2018-03-26T14:04:29.035Z,2018-03-26T14:04:36.615Z,7580
28,1,2,14000,2018-03-26T14:04:39.924Z,2018-03-26T14:07:01.719Z,141795
28,1,2,1374,2018-03-27T15:41:43.743Z,2018-03-27T15:42:32.493Z,48750
